qid,model,prompt,resp
25,ground_truth,"幫我把下列英文文章翻譯成中文：
Spanish low-cost airline Vueling has started offering treats for pets as part of the buy-on-board menu on its flights, it said, adding that it was the first such initiative in Europe.
Vueling, which allows passengers to travel with pets of up to 8 kilograms, has developed the concept jointly with Belgian pet food maker Edgard & Cooper and the menu will include chicken bars and beef bites priced at 3.50 euros and 5.50 euros, respectively.
A significant part of Vueling’s customer base travels with pets and there is demand for such a service, the airline said. ""We are trying to be diverse,"" it added.","西班牙廉價航空公司伏林航空表示，已開始在其航班上提供寵物零食，為機上購物清單的一部分，並補充道，此舉是歐洲首創。
允許乘客攜帶重量最高8公斤寵物旅行的伏林航空，與比利時寵物食品製造商Edgard & Cooper共同想出這個點子，菜單將包含雞肉條和牛肉塊，售價分別是3.50歐元（約122台幣）和5.50歐元（約192台幣）。
伏林航空表示，他們的客群中有很大一部分攜帶寵物旅行，有這類服務的需求。該公司補充道：「我們正在努力實現多元化。」"
26,ground_truth,"請將這段英文翻譯成中文：
Anyone who’s set foot in Italy knows there are unwritten rules that one must abide by – and the most important of all revolve around food.
Cappuccino after 11 a.m.? Only for tourists. Spaghetti bolognese? A horrifying thought. Pineapple on your pizza? Heresy – at least, it was until now.
But 2024 might just be the year that pineapple pizza cracks Italy, thanks to Gino Sorbillo, the renowned Naples pizzaiolo (pizza maestro) who has added the dreaded “ananas” to his menu in Via dei Tribunali, the best known pizza street in the world capital of pizza.
Sorbillo, a third-generation pizzaiolo, told CNN that he created it to “combat food prejudice.”","任何踏足義大利的人都知道，有些不成文規則你不得不遵守—而最重要的不成文規定皆與食物有關。
上午11點過後喝卡布奇諾？只有遊客才醬。番茄肉醬義大利麵？多可怕的想法。披薩上放鳳梨？這是邪門歪道—至少迄今是邪門歪道。
但2024年可能正是鳳梨披薩席捲義大利之年。拜那不勒斯的知名披薩師傅索爾畢洛之賜，他已將可怕的「鳳梨」，加入他在世界披薩之都（那不勒斯）最知名的披薩街法庭街（上的披薩店）的菜單。
第3代披薩師傅索爾畢洛告訴美國有線電視新聞網，他創造鳳梨披薩是為了「與食物偏見對戰」。"
27,ground_truth,"幫我把下列英文文章翻譯成中文：
A huge clam that was on the verge of extinction has made a comeback, with a surge in numbers in waters off Croatia, marine biologists say.
The clam, known as the noble pen shell or pinna nobilis, started dying out as a deadly pathogen spread in parts of the Mediterranean around 2016. Numbers plummeted across the region and scientists in Croatia only knew of around 10 surviving in their corner of the Adriatic.
Then in 2022, a diver spotted a group of 20 near the shore in the north of the Istria peninsula.
In 2023, biologists managed to collect about 100 young specimens and take them to an aquarium. It was a sign that they are still reproducing themselves.
The clams, whose shells can grow as much as 120 cm, can filter sea water and allow other organisms to flourish.","海洋生物學家表示，一種瀕臨絕種的巨型蛤蜊回來了，牠們在克羅埃西亞附近海域的數量大幅增加。
2016年左右，這種被稱為大江珧（音同姚）蛤的蛤蜊開始滅絕，因為一種致命的病原體在地中海部分地區傳播。整個地中海地區的蛤蜊數量開始急劇下降，克羅埃西亞科學家僅知道有10隻存活在亞得里亞海一角。
在2022年，一名潛水夫在伊斯垂亞半島北部海岸附近發現約20隻大江珧蛤。
2023年，生物學家設法捕捉到約100隻幼年樣本，並將牠們帶到水族館。這表示牠們仍在自我繁殖。
這種蛤蜊的殼直徑可達120公分，可過濾海水，並促進其他有機體繁衍。"
28,ground_truth,"幫我把下列英文文章翻譯成中文：
A bounty of 10 African penguin chicks has hatched in just over a year at a San Francisco science museum.
The penguins began hatching in November 2022, ending a four year period without any new chicks, and continued through January of this year, the California Academy of Sciences announced Wednesday.
African penguins have dwindled to 9,000 breeding pairs in the wild, the academy said in a statement.
Threats such as overfishing, habitat degradation and oil spills have reduced colonies of the charismatic black-and-white birds, said Brenda Melton, director of animal care and well-being at the museum’s Steinhart Aquarium.
“Every chick we welcome strengthens the genetics and overall population of the species in human care,” she said.","舊金山一家科學博物館在僅僅1年多內，就孵育出多達10隻非洲企鵝幼雛。
這群企鵝從2022年11月起陸續孵化出來，並且持續到今年1月結束，終結了一段為期4年都無任何新幼雛誕生的時期，加州科學博物館週三宣布。
這所科博館在聲明中說，野生非洲企鵝數量已經減少到9000對具繁殖能力的雌雄企鵝。
過度捕撈、棲息地惡化以及漏油等威脅，減少了這種迷人的黑白色鳥類族群，這間科博館的史坦哈特水族館動物照護與福利部門主任布蘭達．梅爾頓說。
「我們迎接的每一隻幼雛，都強化了在人類照顧下物種遺傳基因和整體族群數量」，她說。"
29,ground_truth,"請將這段英文翻譯成中文：
Cambodian Prime Minister Hun Manet has ordered a ban on musical horns, after videos posted on social media showed people dancing on roads and roadsides as passing trucks blasted rhythmic little tunes.
Hun Manet called on the Ministry of Public Works and Transportation and police across the country to immediately take action against any vehicle whose normal horn has been replaced by a tune-playing one by ripping it out and restoring the standard honking type.
He commented on his Facebook page on Monday that recent social media posts had shown “inappropriate activity committed by some people, especially youth and children, dancing on the roadside to the musical sounds from trucks’ horns.”
Hun Manet said such dancing affects public order and poses a traffic hazard that is a threat to life and limb, not least of all to the dancers themselves. For Cambodians, there will be no more dancing in the street.","社群媒體上發布的影片顯示，當過往的卡車播放有節奏的短曲時，人們在馬路和路邊跳舞，柬埔寨總理韓馬內下令禁止使用音樂喇叭。
韓馬內呼籲公共工程和運輸部和全國各地的警察，立即對把正常喇叭換成會播放曲子喇叭的任何車輛採取行動，拆掉這些喇叭，恢復標準的喇叭樣式。
韓馬內週一在自己的臉書頁面評論說，最近的社群媒體發文顯示，有些人，尤其是青少年和兒童，在路邊伴隨著卡車喇叭的音樂聲跳舞，做出不當行為。
韓馬內說，這類舞蹈影響公共秩序，造成交通危害，進而危及生命和肢體，尤其是對舞者本身。而對柬埔寨人來說，今後街上將不再有人跳舞。"
30,ground_truth,"幫我把下列英文文章翻譯成中文：
Microsoft said Friday it’s still trying to evict the elite Russian government hackers who broke into the email accounts of senior company executives in November and who it said have been trying to breach customer networks with stolen access data.
The hackers from Russia’s SVR foreign intelligence service used data obtained in the intrusion, which it disclosed in mid-January, to compromise some source-code repositories and internal systems, the software giant said in a blog and a regulatory filing.
Microsoft said Friday that the hackers stole ""secrets"" from email communications between the company and unspecified customers — cryptographic secrets such as passwords, certificates and authentication keys —and that it was reaching out to them ""to assist in taking mitigating measures.""","微軟週五表示，他們仍在努力驅逐那些在11月入侵公司高級主管電郵帳號戶的俄羅斯政府精英駭客，這些駭客據稱一直試圖利用竊取的存取數據，入侵客戶網路。
這家軟體巨擘在部落格和監管文件中表示，來自俄羅斯對外情報機構「對外情報局」（SVR）的駭客，利用1月中旬披露的入侵所獲得的數據，危及一些原始碼儲存庫和內部系統。
微軟週五表示，駭客從公司與非特定客戶之間的電郵通訊中，竊取「秘密」——例如密碼、憑證和驗證金鑰等加密密碼，該公司正與這些客戶聯繫，「以協助採取緩解措施」。"
31,ground_truth,"幫我把下列英文文章翻譯成中文：
In a new study involving a group of polyglots, the brain activity of the participants was monitored using a method called functional magnetic resonance imaging as they listened to passages read in various languages.
With one intriguing exception, activity increased in the areas of the cerebral cortex involved in the brain’s language-processing network when these polyglots - who spoke between five and 54 languages - heard languages in which they were the most proficient compared to ones of lesser or no proficiency.
But an exception caught the attention of the researchers. In many of the participants, listening to their native language elicited a lesser brain response compared to hearing other languages they knew - on average down about 25%. And in some of the polyglots, listening to their native language activated only a part of the brain’s language network, not the whole thing.","由一群多語者參與的一項新研究，使用一種名為功能性磁振造影的技術，在參與者聆聽以各種語言朗讀的文章段落時監測其腦部活動。
一項引人好奇的例外情況是，比起較不熟稔或不熟稔的語言，這些具備5至54種語言能力的多語者在聽聞最精通的語言種類時，大腦皮質涉及語言處理網路的區域就會更加活躍。
但有另一項引起研究員注意的例外。許多參與者在聽到自己的母語時，引起的腦部反應比聽到其它知曉的語言時更少，平均減少約25％。部分多語者聽到母語時僅觸發大腦語言網路的一部分，而非全部。"
32,ground_truth,"我需要一個中文的翻譯：
China’s embassy in Seoul has warned citizens against the dangers of having plastic surgery done in South Korea.
South Korea is one of the world’s most popular destinations for medical tourism, canvassing foreign patients in the past decade, the bulk of whom come from China and the United States, data provider Statista says.
""In recent years, many foreigners have come to South Korea for cosmetic surgery, and some people have been involved in medical disputes and surgical failures and even deaths have occurred,"" the Chinese embassy said in a note to the public.
""If there is a major change in (your) postoperative appearance, or if you are still in the postoperative recovery stage, you should bring the surgical certificate when you leave the country,"" the embassy added.
Such a precaution would help avoid complications with check-in or subsequent entry and exit procedures, it said. ","中國駐首爾大使館警告其公民，在南韓做整形手術的危險。
數據提供網站Statista指出，南韓是全球最熱門醫療旅遊目的地之一，過去10年吸引外國患者，其中大部分來自中國和美國。
「近年許多外國人到南韓做整形手術，有些人發生醫療糾紛、手術失敗，甚至死亡事件」，中國大使館在一份公告中說。
「如果（你的）術後容貌發生較大變化，或者你還在術後恢復期，離開該國時應該攜帶手術證明」，大使館還說道。
聲明說，這類預防措施將有助於避免對辦理登機，或者後續出入境手續的影響。"
33,ground_truth,"幫我把下列英文文章翻譯成中文：
The first over-the-counter birth control pill will be available in U.S. stores later this month, allowing American women and teens to purchase contraceptive medication as easily as they buy aspirin.
Manufacturer Perrigo said Monday it has begun shipping the medication, Opill, to major retailers and pharmacies. A one-month supply will cost about $20 and a three-month supply will cost around $50, according to the company’s suggested retail price. It will also be sold online.
Opill is an older class of contraceptive, sometimes called minipills, that contain a single synthetic hormone, progestin, and generally carry fewer side effects than more popular combination estrogen and progestin pills.","第一種可以在美國商店購買的非處方避孕藥，將於本月晚些時候上市，使美國婦女和青少年能夠像購買阿斯匹靈一樣，輕鬆地獲得避孕藥物。
製造商「百利高」週一表示，已開始向主要零售商和藥房運送這款名為Opill的藥物。根據公司建議的零售價格，1個月的用量將花費約20美元，3個月的用量將花費約50美元。該藥物也將在線上出售。
Opill是一種較舊的避孕藥類別，有時被稱為小劑量避孕藥，它只含有一種合成荷爾蒙黃體酮，副作用通常比流行的複合雌激素和黃體酮避孕藥更小。"
34,ground_truth,"以下是一篇英文內容，請幫我翻譯成中文：
Male office workers at a telecoms firm in Tokyo have experienced simulated menstrual pain to help them become more sympathetic toward female colleagues ahead of International Women’s Day on Friday.
""I couldn’t move. It hurt to the point where I couldn’t stand,"" said 26-year-old Masaya Shibasaki after using the device jointly developed by researchers at Nara Women’s University and startup Osaka Heat Cool.
""I now understand women have to work while fighting this pain every month. It’s actually amazing how women can do that. I really respect them,"" Shibasaki said.
Companies in Japan are legally required to allow women to take menstrual leave. However, there is no requirement for the time off to be paid and surveys showed around half of female workers never take it.","位於東京的一家電信企業男員工在國際婦女節前體驗了模擬經痛，讓他們能對女同事更富有同情心。
26歲員工柴崎雅也在使用由奈良女子大學與新創公司Osaka Heat Cool聯合研發的器材後表示，「我動不了，疼痛的程度讓我無法動彈」。
他說，「現在我明白女性每個月都得在工作的同時對抗這種疼痛。她們要如何辦到著實讓人感到驚嘆。我確實尊敬她們」。
日本法律要求企業給予女性生理假。然而，卻沒有要求休假時給付薪資。民調顯示約半數女性職員從未請過生理假。"
35,ground_truth,"幫我把下列英文文章翻譯成中文：
Argentina is preparing to offer larger denomination peso bills in an attempt to simplify daily transactions that require some in the country to carry backpacks stuffed with cash.
The central bank said it approved the production of 10,000-peso and 20,000-peso notes and would make them available by June.
Currently, the largest denomination in circulation is a 2,000 peso note — and even those are rare and highly sought after.
Larger denomination notes will help to ease issues created by soaring prices, with official figures released earlier showing the annual inflation rate hitting 211.4% in December.","阿根廷正準備提供較大面額披索紙幣，以圖簡化日常交易；有些民眾得背著塞了現金的背包，來進行這些日常交易。
中央銀行說該署已經批准印製面額1萬披索和2萬披索的紙鈔，會在6月發行流通。
目前流通的最大面額紙鈔是2000披索，但就連2000面額的都很少見，很受歡迎。
較大面額紙鈔將有助於減緩物價上漲造成的一些問題，日前公佈的官方數據顯示，12月年通膨率達到211.4％。"
36,ground_truth,"我需要一個中文的翻譯：
A wave of thefts of bonsai miniature potted trees across Japan appear tied to an overseas boom that offers high profits from resale, according to experts.
In many cases, thieves made off with expensive plants in the dead of night.
Mitsunori Imai, 60, who operates the Warabi-en bonsai garden here in Kanuma, Tochigi Prefecture, was left speechless after he found many bonsai trees missing from his shelves on the morning of Dec. 12.
“My mind went blank because of the shock,” he said.","根據專家，一波盆景失竊潮席捲日本各地，顯然與轉售利潤高的海外盆栽熱潮有關。
在許多情況下，小偷會在深夜偷走昂貴盆景植物。
60歲的今井光典在（日本）?木縣鹿沼市經營盆栽園「和樂美園」，他在（2023年）12月12日早上發現架上許多盆景樹不翼而飛後，（震驚到）說不出話來。
「我震驚到腦子一片空白，」他說。"
37,ground_truth,"請將這段文字翻譯成中文：
Elon Musk has launched a legal case against OpenAI, the AI firm he helped to set up in 2015, accusing its leaders of a ""betrayal"" of its founding mission.
The tycoon, who left OpenAI in 2018, argued in documents filed in a San Francisco court that the firm was always intended as a nonprofit entity.
But he said recent boardroom changes meant OpenAI was now effectively a subsidiary of software giant Microsoft, arguing that this was breach of contract.
Musk has accused Microsoft of controlling OpenAI several times, with both firms denying the claims. Antitrust regulators in the United States and Europe are also investigating the ties between the companies.
OpenAI captured the imagination of people in late 2022 with the release of its chatbot ChatGPT, which can generate poems and essays and even succeed in exams.","馬斯克對其2015年協助成立的人工智慧（AI）公司OpenAI提出訴訟，指控該公司領導高層「背叛」其創立使命。
這位在2018年離開OpenAI的大亨，在提交給舊金山法院的文件中指稱，該公司意圖永遠做為一家非營利實體。
但他說，近期董事會的變動意味OpenAI現在實際上是軟體巨頭微軟的一家子公司，他宣稱這違反合約。
馬斯克已數度指控微軟掌控OpenAI，這兩家公司否認該宣稱。美國與歐洲的反壟斷監管機關也正調查這兩家公司之間的關係。
OpenAI在2022年底推出可以生成詩句、論文，甚至通過考試的聊天機器人ChatGPT，而引發人們的興趣。"
38,ground_truth,"以下是一篇英文內容，請幫我翻譯成中文：
A rare book gifted to Charles Darwin by Karl Marx in 1873, which may not have been read by its recipient, is returning to the English naturalist’s home for public display after undergoing conservation work.
The founder of communism had sent the father of evolutionary theory a copy of ""Das Kapital"", his critical analysis of capitalism, personally inscribing on the opening page: ""on the part of his sincere admirer, Karl Marx"".
The book will now return to Down House, from where Darwin worked on his revolutionary theory of evolution by natural selection, after five years away during which the tome underwent specialist conservation work by Cambridge University Library to prevent further deterioration of the delicate copy.
In his reply to Marx, Darwin wrote that he wished he was more worthy of the ""honour"" of receiving ""Das Kapital"", by understanding the subject better.","由卡爾．馬克斯在1873年致贈給查爾斯．達爾文的一本稀有書籍，或許從未被這位收禮人翻閱過。如今在經過保存工作後送返這名英國自然主義者的家中公開展覽。
共產主義創立者送給進化論之父的「資本論」，是馬克斯對資本主義的批判分析之作。他在首頁親筆寫下「由真誠的仰慕者卡爾．馬克斯所作」。
這部巨著在由劍橋大學圖書館進行五年的專業保存工作，避免脆弱的文本狀態進一步惡化後送回達爾文的故居，他在此潛心建立了以天擇形塑的革命性進化理論。
達爾文給馬克斯的回覆寫道，希望透過自己能更好理解「資本論」的主題，來對得起獲贈的榮幸。"
39,ground_truth,"幫我把下列英文文章翻譯成中文：
Read all about it, right now — or you’ll have to wait another four years. Satirical French newspaper La Bougie du Sapeur only comes out on Feb. 29.
It’s a leap year-only publication, filled with cringe-worthy puns and commentary on events of the past four years.
The 2024 edition includes an article suggesting France doesn’t need schools anymore thanks to artificial intelligence. Another floats the idea of dismantling the Eiffel Tower during the Paris Olympics to reduce security risks － and having IKEA produce a manual for rebuilding it.
Some friends started the newspaper as a joke in 1980, naming it after a comic book figure who was born on Feb. 29. The last edition — in 2020, as the world went into COVID-19 lockdowns — sold 120,000 copies.
When the world goes out of whack, reads its once-in-four-years editorial, ‘‘Sometimes you have to laugh about it.’’","現在趕快讀——否則你將得再等4年。挖苦人的法國《工兵蠟燭報》只在2月29日出版。
這是一份閏年限定的出版物，充滿了令人尷尬的雙關語及對過去4年事件的評論。
2024年版包含一篇暗示法國多虧人工智慧而不再需要學校的文章。另一篇提議在巴黎奧運期間拆除艾菲爾鐵塔以降低安全風險——並讓宜家家居製作重建指南。
一些朋友1980年創辦這份報紙當作一場玩笑，以2月29日出生的一個漫畫人物命名。上一版——2020年，當時全球正因武漢肺炎限制行動——賣了12萬份。
當世界失控，它4年1次的社論寫道，「有時你得一笑置之。」"
40,ground_truth,"我需要一個中文的翻譯：
Kaine is a big, buoyant dog looking for a home. But lately, he’s spending a lot of time at the office.
Animal shelters around the U.S. are bursting at the seams amid the rising cost of living, so the gray and white 7-year-old has been staying in a worker’s office at the Mohawk Hudson Humane Society while awaiting adoption.
The number of animals entering shelters began to climb in 2021, after a pandemic-related dip. Adoptions haven’t kept pace with the influx of pets — especially larger dogs like Kaine — creating a snowballing population problem for many shelters.","活潑大狗「凱恩」正在尋找一個家，但牠最近大多待在（動物收容所的）辦公室。
由於生活成本持續上漲，美國各地的動物收容所已「寵」滿為患，所以這隻7歲大的灰白色狗「凱恩」在等待被領養期間，一直住在（美國紐約州梅南茲的）莫霍克哈德遜人道協會的工作人員的辦公室。
進入收容所的動物數量一度因武漢肺炎疫情大流行而下降，之後在2021年開始攀升，但寵物被領養的速度並未跟上寵物大量湧入收容所的步伐－－特別是像凱恩這樣的大狗－－對許多收容所造成日益嚴重的收容數量的問題。
"
41,ground_truth,"幫我把下列英文文章翻譯成中文：
Women officially joined a so-called ""naked festival"" at a shrine in central Japan for the first time in the event’s 1,250 year history, donning purple robes and chanting excitedly as they bore a large bamboo trunk as an offering.
Seven groups of women took part in the ritual which is said to drive away evil spirits and where participants pray for happiness. Despite its name, those taking part are not naked.
Many women wore ""Happi Coats"" (robes that reach to the hips) and shorts that are typically worn at Japanese festivals, although men just wore loincloths similar to those worn by sumo wrestlers.
""I heard that women could participate so I definitely wanted to take part to help bring excitement to this town and festival,"" said 59-year-old civil servant Emi Tachibana, one of the participants.","在日本中部一座神社舉行的所謂「裸祭」，身穿紫色長袍、興奮地高喊口號的女性們，扛起當作祭品的大竹子，這是首次有女性參與這場1250年歷史的活動。
7組女性團體參加這場據稱可以除厄及祈福的儀式。儘管被稱為「裸祭」，但參加者並未赤身裸體。
許多女性穿著日本慶典活動上常穿的「法被」（長度覆蓋臀部的罩袍）和短褲，而男性只穿著類似於相撲選手所穿的纏腰布。
參加者之一、59歲公務員立花惠美（音譯）表示：「我聽說女性可以參加，所以我絕對想參加，為這個小鎮和節慶帶來活力。」"
42,ground_truth,"以下提供英文文章，請幫我翻譯成中文：
Francoise Bettencourt Meyers became the first woman to amass a $100 billion fortune, marking another milestone for the heiress and for France’s expanding fashion and cosmetics industries.
Her wealth jumped to $100.1 billion on Thursday, according to the Bloomberg Billionaires Index. She’s the 12th-richest person in the world.
Bettencourt Meyers’ fortune is still significantly less than that of French compatriot Bernard Arnault, founder of luxury goods purveyor LVMH Moet Hennessy Louis Vuitton SE, who is second in the global ranking with $179 billion.
France’s growing domination of luxury retail has spawned several other ultra-rich families, including the clan behind Hermes International SCA, who have amassed Europe’s largest family fortune, and the Wertheimer brothers who own Chanel.","方斯華‧貝登古—麥爾斯成為第一個累積1000億美元財富的女性，對這名女繼承人及法國愈加擴張的流行與美妝產業來說，是又一個里程碑。
根據「彭博億萬富翁指數」，她的財產週四躍升到1001億美元，在世界上最有錢人當中排名第12。
貝登古—麥爾斯的財富仍然顯著少於法國同胞、奢侈品供應商酩悅軒尼詩—路易威登集團創辦人貝爾納‧阿爾諾，他以1790億美元財富，在全球排名第2。
法國奢侈品零售業日益居主導地位，已經造就其他數個超級富豪家族，包括「愛馬仕國際」背後的家族，以及擁有「香奈兒」品牌的韋特海默兄弟。"
43,ground_truth,"以下是一篇英文內容，請幫我翻譯成中文：
The first human patient implanted with a brain-chip from Neuralink appears to have fully recovered and is able to control a computer mouse using their thoughts, the startup’s founder Elon Musk said late on Monday.
""Progress is good, and the patient seems to have made a full recovery, with no ill effects that we are aware of. Patient is able to move a mouse around the screen by just thinking,"" Musk said in a Spaces event on social media platform X.
Musk said Neuralink was now trying to get as many mouse button clicks as possible from the patient.
The firm successfully implanted a chip on its first human patient last month, after receiving approval for human trial recruitment in September.
The study uses a robot to surgically place a brain-computer interface implant in a region of the brain that controls the intention to move, Neuralink has said, adding that the initial goal is to enable people to control a computer cursor or keyboard using their thoughts.","首位接受Neuralink腦晶片植入的人類病患似已完全康復，並能夠用思想控制電腦滑鼠，該新創公司創辦人馬斯克週一晚間表示。
「進展良好，病患似乎已完全康復，我們並未察覺到任何不良影響。病患能夠僅憑思考就在螢幕上移動滑鼠」，馬斯克在社群媒體平台X的「空間」活動中說。
馬斯克表示，Neuralink現在正在嘗試讓病患儘可能多地點擊滑鼠按鈕。
該公司在去年9月獲得人體試驗招募許可後，上個月成功地為其首位人類病患植入一顆晶片。
Neuralink表示，這項研究使用機器人透過手術，將腦機介面植入物放置在大腦中控制移動意圖的區域，並補充說，最初的目標是讓人們能?用自己的思想控制電腦游標或鍵盤。"
44,ground_truth,"幫我把下列英文文章翻譯成中文：
A traditional ceremony for children is catching on among pet owners in Japan, where dogs and cats are receiving ever more attention amid the nation’s plummeting birth rates.
Natsuki Aoki took her two Chihuahuas on a plane ride to Tokyo from the western city of Hiroshima so her fur babies could get a special blessing.
The Zama Shrine, which dates back to the 6th century and lies about 35 kilometres southwest of Tokyo, established a specific prayer site for pets in 2012. It now hosts Shichi-Go-San rituals where pet parents can pray for the health and happiness of their animals.
The rite is traditionally celebrated in mid-November for children reaching the age of 3, 5 and 7. Parents dress their girls and boys in kimonos and bring them to a Shinto holy place for the ceremony.","由於日本出生率急遽下降的緣故，一項兒童傳統儀式正在寵物主人之間蔚為流行，狗狗和貓咪受到愈來愈多的關注。
青木夏希（譯音）帶著她的兩隻吉娃娃，搭飛機從日本西部的廣島飛往東京，好讓她的毛小孩接受特別的祝福。
位於東京西南方約35公里處、歷史可追溯至西元6世紀的座間神社，在2012年為寵物建立一個專門的祈福?場所。現在，該神社會舉辦七五三儀式，讓寵物的主人們可以為寵物祈禱牠們的健康和幸福。
這個儀式傳統上是在11月中旬為年滿3歲、5歲、7歲的孩子慶祝。父母會替男孩和女孩穿上和服，並帶他們到神道教聖地參加儀式。"
45,ground_truth,"請翻譯成中文：
The organizers of the first protest against Argentine President Javier Milei’s government will have to cough up tens of thousands of dollars to cover the cost of security forces deployed to the demonstration, the government’s spokesman said Friday.
Thousands turned out for the march to oppose Milei’s austerity measures and commemorate the deadly 2001 protests that followed the country’s economic meltdown.
Spokesman Manuel Adorni said a heavy deployment of police, paramilitary officers and anti-riot forces, cost 60 million pesos.
""The bill will be sent to the social movements"" who will ""bear the responsibility of the cost which should not fall on citizens.""","第一場針對阿根廷總統哈維爾‧米雷伊政府的示威活動主辦者，將得掏出數萬美元，負擔為這場示威部署安全部隊的費用，政府發言人週五說。
數千人參加這場遊行反對米雷伊的撙節措施，並且紀念2001年該國經濟崩潰後引發導致人命喪失的示威。
政府發言人曼紐爾‧阿多尼說，大幅部署警力、武裝員警和鎮暴部隊，耗費6000萬披索。
「這筆帳單將送到這場社會運動（主辦者）」，他們將「負責承擔這筆費用，不應該落在公民身上」。"
46,ground_truth,"幫我把下列英文文章翻譯成中文：
Nearly half of the world’s migratory species are in decline, according to a new United Nations report.
Many songbirds, sea turtles, whales, sharks and other migratory animals move to different environments with changing seasons and are imperiled by habitat loss, illegal hunting and fishing, pollution and climate change.
About 44% of migratory species worldwide are declining in population, the report found. More than a fifth of the nearly 1,200 species monitored by the U.N. are threatened with extinction.
“These are species that move around the globe. They move to feed and breed and also need stopover sites along the way,” said Kelly Malsch, lead author of the report. Habitat loss or other threats at any point in their journey can lead to dwindling populations.","全球近半數遷徙物種正減少，根據聯合國一份新報告說。
許多鳴禽、海龜、鯨魚、鯊魚與其他遷徙動物隨著季節變化遷移至不同環境，受到棲地流失、非法狩獵、捕撈、污染與氣候變遷的威脅。
報告發現，全球約44％的遷徙性物種數量正在減少。在聯合國監測的近1200個物種中，超過5分之1面臨滅絕威脅。
「這些物種在全球遷移，牠們為覓食、繁殖遷移，沿途也需要中途停留的據點」，報告主要作者凱莉‧麥爾許說。旅程中任何時間點的棲地流失或其他威脅可能導致族群數量萎縮。"
47,ground_truth,"以下是一篇英文內容，請幫我翻譯成中文：
Extreme wind and rain may lead to bigger and worse desert locust outbreaks, with human-caused climate change likely to intensify the weather patterns and cause higher outbreak risks, a new study has found.
The desert locust — a short-horned species found in some dry areas of northern and eastern Africa, the Middle East, and South Asia — is a migratory insect that travels in swarms of millions over long distances and damages crops, causing famine and food insecurity. A square kilometer swarm comprises 80 million locusts that can in one day consume food crops enough to feed 35,000 people.
The study, published in Science Advances on Wednesday, said these outbreaks will be “increasingly hard to prevent and control” in a warming climate.","極端的風和雨可能導致更大、更嚴重的沙漠蝗災，而人為造成的氣候變遷，可能會加劇這種天氣模式，並增加蝗災爆發的風險，一項新研究發現。
沙漠蝗蟲是一種短角物種，分佈在非洲北部和東部、中東和南亞的一些乾旱地區，是一種遷徙性的昆蟲，以數百萬隻的群體遷徙長距離，破壞農作物，造成饑荒和糧食不安全。1平方公里的蝗群包含8000萬隻蝗蟲，1天可以消耗足夠養活3.5萬人的糧食作物。
這項研究週三發表於《科學進展》期刊，指出在氣候變暖的情況下，這些蝗災將「越來越難以預防和控制」。"
48,ground_truth,"幫我把下列英文文章翻譯成中文：
A restaurant in the US is charging some of its customers for their inability to control their children while they dine there.
Hidden away at the bottom of its menu, the Toccoa Riverside Restaurant tells its diners of its ""adult surcharge,"" and adds: ""No respect, no service.""
Kyle Landmann left a review online, and said: ""The owner came out and told me he was adding $50 to my bill because of my children’s behaviour. ""My kids watched a tablet until the food arrived, ate their food and my wife took them outside while I waited and paid the bill.""
His wife, Lyndsey Landmann said :""The kids were being so good. I even commented halfway through the meal: ""I can’t believe how well-behaved they are.""
Mrs Landmann claimed the owner said their children were ""being too loud"" and ""running around outside"".","美國一家餐廳向部分顧客收取費用，原因是他們在內用期間無法控制自己的孩子。
隱藏在托科亞河畔餐廳菜單底部的一行字，告訴內用的客人這項「成人附加費」，並補充說：「沒有尊重，就沒有服務。」
凱爾‧蘭德曼在網路上留下評論，說：「老闆出面告訴我，由於我孩子的行為，他要在我的帳單上增加50美元。」「在餐點送來以前，我的孩子在看平板，用完餐後，我的妻子把他們帶到外面，而我等著結帳。」
他的妻子琳賽‧蘭德曼說：「孩子們表現良好。我吃到一半甚至說道，『不敢相信他們表現這麼好』。」
蘭德曼太太表示，老闆說他們的孩子「太大聲」，並且「在外面跑來跑去」。"
49,ground_truth,"請翻譯成中文：
Hundreds of tons of dead sardines washed up on a beach in northern Japan, prompting speculation a school of fish was suddenly deprived of oxygen for some reason.
A silver blanket of dead fish covered a roughly 1.5-kilometer stretch of shoreline around Toi fishing port in southern Hakodate on the northernmost main island of Hokkaido.
Officials estimated that at least 1,000 tons of mostly sardines but some mackerel washed ashore Dec. 7 but made clear the figure could be higher.
City authorities, along with the Oshima Regional Promotion Bureau of the Hokkaido prefectural government, will work local fishermen from Dec. 9 to begin cleaning up the area and disposing of the dead fish.","數以百噸計的死沙丁魚被沖上日本北部1處海灘，引發魚群可能因某種原因突然缺氧的猜測。
（日本）最北主島北海道的南部城市函館的戶井漁港附近，約1.5公里的海岸線被覆蓋上一層銀色死魚。
官員估計，（2023年）12月7日有至少1000噸（死魚）被沖上岸，主要是沙丁魚，但也有若干鯖魚，但（官員）也明示，（被沖上岸的死魚）數量可能會更高。
（函館）市政府及北海道道廳的渡島綜合振興局，將從（2023年）12月9日起，與當地漁民一起開始清理該地與處理死魚。"
